City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,0.0,0.0,0.04,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.25,0.645,0.645,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,86.86
-49.273056,-25.427778,Curitiba,0.855,0.965,1.065,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,70.0,86.85
-49.273056,-25.427778,Curitiba,0.855,1.205,1.27,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.12,,66.0,69.0,86.58
-49.273056,-25.427778,Curitiba,0.8049999999999999,1.22,1.22,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,85.86
-49.273056,-25.427778,Curitiba,0.7749999999999999,1.18,1.3250000000000002,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,70.0,84.16
-49.273056,-25.427778,Curitiba,0.8300000000000001,1.455,1.62,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,84.76
-49.273056,-25.427778,Curitiba,0.0,0.07,0.1,,60.0,78.0,
-49.273056,-25.427778,Curitiba,1.0750000000000002,1.46,1.5550000000000002,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.255,,66.0,69.0,86.72
-49.273056,-25.427778,Curitiba,0.14,0.17,0.17,,60.0,78.0,
-49.273056,-25.427778,Curitiba,1.52,2.155,2.19,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.02,,66.0,69.0,87.9
-49.273056,-25.427778,Curitiba,0.05,0.11,0.29,,60.0,78.0,
-49.273056,-25.427778,Curitiba,2.015,2.76,2.795,,-232.0,37.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,69.0,89.03
-49.273056,-25.427778,Curitiba,0.0,0.17,0.34,,60.0,78.0,
-49.273056,-25.427778,Curitiba,1.75,2.6,2.9400000000000004,,-232.0,38.0,
